method,full_collision_groups,full_collision_items,collision_pairs_possible,collision_pairs_sampled,matched_pairs_sampled,collision_shares_user_rate,matched_shares_user_rate,interaction_qualified_collision_lift,collision_same_category_rate,matched_same_category_rate,status
grid_official_rqkmeans_resid_feature_text,3200,23193,135528,30000,30000,0.0122333333333333,0.0031666666666666,3.8631578947368426,0.4389,0.0207333333333333,ok
resid_gaoq,0,0,0,0,0,0.0,0.0,,0.0,0.0,no_full_sid_collisions
sanity_category_prefix,0,0,0,0,0,0.0,0.0,,0.0,0.0,no_full_sid_collisions
sanity_mod_collision_hash,256,23742,1089096,30000,30000,0.0032,0.0027,1.1851851851851851,0.0195666666666666,0.0198333333333333,ok
sanity_popularity_balanced,1006,2041,1066,1066,1066,0.0093808630393996,0.0046904315196998,2.0,0.024390243902439,0.0290806754221388,ok
